Time, Speed, RPM, Cool_temp, Intake_temp, Load, Ambiant_air, Baro_pressure 
1611052950, 0, 02020, 13, 1, 27, 15, 99 
1611052950, 0, 888, 13, 1, 27, 15, 99 
1611052950, 0, 884, 13, 1, 27, 15, 99 
1611052951, 0, 898, 13, 1, 27, 15, 99 
1611052951, 0, 890, 13, 1, 28, 15, 99 
1611052951, 0, 890, 13, 1, 28, 15, 99 
1611052951, 0, 889, 13, 1, 25, 15, 99 
1611052951, 0, 900, 13, 1, 28, 15, 99 
1611052951, 0, 887, 13, 1, 27, 15, 99 
1611052951, 0, 892, 13, 1, 27, 15, 99 
1611052952, 0, 892, 13, 1, 27, 15, 99 
1611052952, 0, 892, 13, 1, 27, 15, 99 
1611052952, 0, 892, 13, 1, 27, 15, 99 
1611052952, 0, 890, 13, 1, 28, 15, 99 
1611052952, 0, 884, 13, 1, 26, 15, 99 
1611052953, 0, 897, 13, 1, 26, 15, 99 
1611052953, 0, 893, 13, 1, 27, 15, 99 
1611052953, 0, 888, 13, 1, 26, 15, 99 
1611052953, 0, 893, 13, 1, 28, 15, 99 
1611052953, 0, 883, 13, 1, 27, 15, 99 
1611052954, 0, 893, 13, 1, 27, 15, 99 
1611052954, 0, 888, 13, 1, 29, 15, 99 
1611052954, 0, 892, 13, 1, 28, 15, 99 
1611052954, 0, 886, 13, 1, 28, 15, 99 
1611052954, 0, 885, 13, 1, 28, 15, 99 
1611052954, 0, 893, 13, 1, 27, 15, 99 
1611052955, 0, 890, 13, 1, 27, 15, 99 
1611052955, 0, 890, 13, 1, 27, 15, 99 
1611052955, 0, 894, 13, 1, 27, 15, 99 
1611052955, 0, 883, 13, 1, 27, 15, 99 
1611052955, 0, 894, 13, 1, 28, 15, 99 
1611052956, 0, 883, 13, 1, 27, 15, 99 
1611052956, 0, 883, 13, 1, 28, 15, 99 
1611052956, 0, 886, 13, 1, 27, 15, 99 
1611052956, 0, 892, 13, 1, 29, 15, 99 
1611052956, 0, 880, 13, 1, 27, 15, 99 
1611052957, 0, 894, 13, 1, 28, 15, 99 
1611052957, 0, 885, 14, 1, 29, 15, 99 
1611052957, 0, 888, 14, 1, 29, 15, 99 
1611052957, 0, 888, 14, 1, 27, 15, 99 
1611052957, 0, 888, 14, 1, 29, 15, 99 
1611052957, 0, 882, 14, 1, 28, 15, 99 
1611052958, 0, 882, 14, 1, 29, 15, 99 
1611052958, 0, 893, 14, 1, 30, 15, 99 
1611052958, 0, 884, 14, 1, 29, 15, 99 
1611052958, 0, 891, 14, 1, 29, 15, 99 
1611052958, 0, 887, 14, 1, 30, 15, 99 
1611052959, 0, 880, 14, 1, 28, 15, 99 
1611052959, 0, 893, 14, 1, 29, 15, 99 
1611052959, 0, 882, 14, 1, 28, 15, 99 
1611052959, 0, 889, 14, 1, 29, 15, 99 
1611052959, 0, 887, 14, 1, 29, 15, 99 
1611052959, 0, 884, 14, 1, 30, 15, 99 
1611052960, 0, 880, 14, 1, 29, 15, 99 
1611052960, 0, 880, 14, 1, 28, 15, 99 
1611052960, 0, 893, 14, 1, 29, 15, 99 
1611052960, 0, 884, 14, 1, 29, 15, 99 
1611052960, 0, 889, 14, 1, 29, 15, 99 
1611052961, 0, 890, 14, 1, 30, 15, 99 
1611052961, 0, 886, 14, 1, 30, 15, 99 
1611052961, 0, 880, 14, 1, 32, 15, 99 
1611052961, 0, 880, 14, 1, 32, 15, 99 
1611052961, 0, 884, 14, 1, 31, 15, 99 
1611052961, 0, 888, 14, 1, 30, 15, 99 
1611052962, 0, 884, 14, 1, 32, 15, 99 
1611052962, 0, 886, 14, 1, 32, 15, 99 
1611052962, 0, 886, 14, 1, 35, 15, 99 
1611052962, 0, 866, 14, 1, 29, 15, 99 
1611052962, 0, 901, 14, 1, 30, 15, 99 
1611052962, 0, 888, 14, 1, 33, 15, 99 
1611052963, 0, 881, 14, 1, 33, 15, 99 
1611052963, 0, 879, 14, 1, 32, 15, 99 
1611052963, 0, 889, 14, 1, 31, 15, 99 
1611052963, 0, 886, 14, 1, 32, 15, 99 
1611052963, 0, 884, 14, 1, 32, 15, 99 
1611052963, 0, 889, 14, 1, 31, 15, 99 
1611052964, 0, 880, 14, 1, 33, 15, 99 
1611052964, 0, 881, 14, 1, 31, 15, 99 
1611052964, 0, 893, 14, 1, 31, 15, 99 
1611052964, 0, 893, 14, 1, 34, 15, 99 
1611052964, 0, 875, 14, 1, 32, 15, 99 
1611052965, 0, 889, 14, 1, 34, 15, 99 
1611052965, 0, 881, 14, 1, 34, 14, 99 
1611052965, 0, 883, 14, 1, 32, 14, 99 
1611052965, 0, 890, 14, 1, 33, 14, 99 
1611052965, 0, 880, 14, 1, 35, 14, 99 
1611052966, 0, 878, 14, 1, 32, 14, 99 
1611052966, 0, 891, 14, 1, 33, 14, 99 
1611052966, 0, 882, 14, 1, 33, 14, 99 
1611052966, 0, 883, 14, 1, 32, 14, 99 
1611052966, 0, 887, 14, 1, 33, 14, 99 
1611052966, 0, 883, 14, 1, 35, 14, 99 
1611052967, 0, 881, 14, 1, 32, 14, 99 
1611052967, 0, 883, 14, 1, 34, 14, 99 
1611052967, 0, 883, 14, 1, 32, 14, 99 
1611052967, 0, 886, 14, 1, 34, 14, 99 
1611052967, 0, 878, 14, 1, 32, 14, 99 
1611052968, 0, 890, 14, 1, 32, 14, 99 
1611052968, 0, 885, 14, 1, 33, 14, 99 
1611052968, 0, 883, 14, 1, 32, 14, 99 
1611052968, 0, 877, 14, 1, 32, 14, 99 
1611052968, 0, 886, 14, 1, 34, 14, 99 
1611052969, 0, 879, 14, 1, 32, 14, 99 
1611052969, 0, 878, 14, 1, 33, 14, 99 
1611052969, 0, 887, 14, 1, 32, 14, 99 
1611052969, 0, 876, 15, 1, 36, 14, 99 
1611052969, 0, 881, 15, 1, 33, 14, 99 
1611052969, 0, 881, 15, 1, 30, 14, 99 
1611052970, 0, 896, 15, 1, 34, 14, 99 
1611052970, 0, 876, 15, 1, 31, 14, 99 
1611052970, 0, 888, 15, 1, 32, 14, 99 
1611052970, 0, 883, 15, 1, 33, 14, 99 
1611052970, 0, 880, 15, 1, 34, 14, 99 
1611052971, 0, 877, 15, 1, 33, 14, 99 
1611052971, 0, 886, 15, 1, 34, 14, 99 
1611052971, 0, 870, 15, 1, 36, 14, 99 
1611052971, 0, 870, 15, 1, 32, 14, 99 
1611052971, 0, 887, 15, 1, 33, 14, 99 
1611052971, 0, 876, 15, 1, 34, 14, 99 
1611052972, 0, 885, 15, 1, 32, 14, 99 
1611052972, 0, 883, 15, 1, 33, 14, 99 
1611052972, 0, 883, 15, 1, 35, 14, 99 
1611052972, 0, 874, 15, 1, 34, 14, 99 
1611052972, 0, 879, 15, 1, 34, 14, 99 
1611052972, 0, 885, 15, 1, 34, 14, 99 
1611052972, 0, 877, 15, 1, 34, 14, 99 
1611052973, 0, 877, 15, 1, 35, 14, 99 
1611052973, 0, 875, 15, 1, 38, 14, 99 
1611052973, 0, 869, 15, 1, 35, 14, 99 
1611052973, 0, 891, 15, 1, 17, 14, 99 
1611052973, 0, 1089, 15, 1, 0, 14, 99 
1611052973, 0, 911, 15, 1, 11, 14, 99 
1611052974, 0, 1147, 15, 1, 10, 14, 99 
1611052974, 0, 1062, 15, 1, 12, 14, 99 
1611052974, 0, 1100, 15, 1, 15, 14, 99 
1611052974, 0, 1100, 15, 1, 16, 14, 99 
1611052974, 0, 924, 15, 1, 40, 14, 99 
1611052975, 0, 835, 15, 1, 33, 14, 99 
1611052975, 0, 894, 15, 1, 33, 14, 99 
1611052975, 0, 889, 15, 1, 37, 14, 99 
1611052975, 0, 871, 15, 1, 35, 14, 99 
1611052975, 0, 882, 15, 1, 34, 14, 99 
1611052976, 0, 884, 15, 1, 36, 14, 99 
1611052976, 0, 875, 15, 1, 37, 14, 99 
1611052976, 0, 878, 15, 1, 34, 14, 99 
1611052976, 0, 880, 15, 1, 36, 14, 99 
1611052976, 0, 861, 15, 1, 38, 14, 99 
1611052976, 0, 879, 15, 1, 34, 14, 99 
1611052977, 0, 881, 15, 1, 34, 14, 99 
1611052977, 0, 879, 15, 1, 34, 14, 99 
1611052977, 0, 879, 15, 1, 32, 14, 99 
1611052977, 0, 887, 15, 1, 35, 14, 99 
1611052977, 0, 874, 15, 1, 35, 14, 99 
